nome,nota,aval,prio,status,link,tel,bairro,reivindicado
Escola de Educação Infantil Villa Kids,4.8,32,7.29,SEM NADA,,19 99181-4239,Jardim Nova Veneza (Nova Veneza),True
Tindolelê Educação Infantil,5.0,21,6.71,SÓ REDE SOCIAL,https://www.instagram.com/eei.tindolele/,19 99658-0491,Jardim Nova Veneza (Nova Veneza),True
Escola Cristã de Educação Infantil - Oficina do Saber,4.8,17,6.03,SEM NADA,,19 3873-6025,Jardim Nova Veneza (Nova Veneza),True
ESCOLA DE EDUCAÇÃO INFANTIL MARIA FUMAÇA,4.9,10,5.1,SEM NADA,,19 99445-6000,Parque Jatobá,True
Escola De Educação Infantil Tindolelê,4.5,12,5.01,SEM NADA,,19 99658-0491,Jardim Nova Veneza (Nova Veneza),False
Sonho Mágico Escola de Educação Infantil,3.9,14,4.59,SEM NADA,,19 3396-2429,Altos de Sumaré,False
Escola de Educação Infantil Novo Traço,5.0,5,3.89,SÓ REDE SOCIAL,http://facebook.com/escola.novotraco,19 99160-6325,Altos de Sumaré,True
Escola Educação Infantil Sonho Dourado e Comercial,5.0,2,2.39,SEM NADA,,19 3873-6968,Parque Joao de Vasconcelos,True
